,Words
3970,record
3971,318
3972,street
3973,glanced
3974,hoarser
3975,voice
3976,swellin'
3977,cords
3978,vocal
3979,"""rape"""
3980,"yellin',"
3981,whore
3982,storytellin'
3983,stories
3984,eleven
3985,fell
3986,mace
3987,l'oréal
3988,covered
3989,model
3990,compelling
3991,"makes,"
3992,dwelling
3993,sense
3994,connect
3995,"bad,"
3996,crashes*)
3997,(*car
3998,spellings'
3999,swarm
4000,sentiment's
4001,"eight""?"
4002,"""dinner"
4003,sound*)
4004,(*message
4005,of—
4006,intimidate
4007,"date,"
4008,intimate
4009,wanted
4010,mistake
4011,great
4012,"well,"
4013,"late,"
4014,ask
4015,"yates,"
4016,'less
4017,embrace
4018,warm
4019,bates
4020,norman
4021,greet
4022,estates
4023,fancy
4024,wrecked
4025,"accident"""
4026,repaved
4027,read
4028,static
4029,confess
4030,"rehab"""
4031,checkin'
4032,lamar
4033,gat
4034,aimin'
4035,bed—directly
4036,next
4037,layin'
4038,"though,"
4039,caved
4040,eventually
4041,heat
4042,during
4043,ray
4044,freeze
4045,state
4046,dream
4047,fuck?)
4048,"addict,"
4049,clingy
4050,ex
4051,driving
4052,careful
4053,text
4054,sent
4055,"road"","
4056,"""hit"
4057,events
4058,tragic
4059,reaction
4060,actually
4061,says
4062,time
4063,fact
4064,"possessive,"
4065,"combative,"
4066,"you,"
4067,romantic
4068,matter?
4069,"man,"
4070,dramatic
4071,baggage
4072,much
4073,jumped
4074,"day"""
4075,base
4076,"lebron,"
4077,"andré,"
4078,"wayne,"
4079,sucked
4080,fiancé
4081,used
4082,straw
4083,softball
4084,suck
4085,say?
4086,"(*slurp*)"""
4087,"anyone,"
4088,"—stand,"
4089,under—
4090,"""no,"
4091,dome
4092,straight
4093,slid
4094,(oh)
4095,plate
4096,could've
4097,"akon,"
4098,"jay,"
4099,g-goddang
4100,always
4101,probably
4102,cray
4103,women
4104,movin'
4105,(ha)
4106,sayin'
4107,beyond
4108,"name,"
4109,jigga
4110,gettin'
4111,"jon,"
4112,kwamé?
4113,"conway,"
4114,"ross,"
4115,dante
4116,"dre,"
4117,"don,"
4118,polow
4119,ma$e
4120,"raekwon,"
4121,third
4122,[pre-chorus:
4123,further
4124,moan?
4125,soon-to-be-spouse’s
4126,alone
4127,something
4128,(love)
4129,power
4130,powder
4131,clouded;
4132,judgement
4133,dust
4134,cloud
4135,lust
4136,what)
4137,(out
4138,figure
4139,"burnin',"
4140,something's
4141,rubin]
4142,lyrics[produced
4143,"walk,"
4144,louder
4145,ah)
4146,known
4147,should've
4148,theory
4149,low-end
4150,confirmed
4151,fuck)
4152,"scenario,"
4153,worst-case
4154,already
4155,"yo"""
4156,"go,"
4157,"ain't,"
4158,pause
4159,hurts—brace
4160,"scary,"
4161,thought's
4162,"doubt,"
4163,benefit
4164,"all,"
4165,heard
4166,certain
4167,minute
4168,keep
4169,playin'
4170,like[pre-chorus:
4171,ways
4172,medal
4173,win
4174,metaphor
4175,analogy
4176,emblem
4177,cadillac
4178,mouthpiece
4179,killin'
4180,diligently
4181,dillinger
4182,zimmerman
4183,shattered
4184,delirious
4185,"benjamin,"
4186,caesarean
4187,deep
4188,me?
4189,curious
4190,"face,"
4191,mirror
4192,serious?
4193,up*)
4194,adore
4195,talkin'
4196,"cordial,"
4197,"singin',"
4198,i'ma
4199,rid
4200,couldn't
4201,chlamydia
4202,"her"""
4203,meanwhile
4204,gargle
4205,"over,"
4206,us
4207,pull
4208,cops
4209,carpool?
4210,fellatio
4211,would
4212,marshall?
4213,it?
4214,training
4215,hangs
4216,(*phone
4217,contributorslove
4218,water
4219,"now,"
4220,available
4221,"""sherane"
4222,called
4223,manslaughter
4224,booked
4225,abortion
4226,"drowned,"
4227,under
4228,message
4229,duck
4230,nigga
4231,stupid
4232,walked
4233,granny
4234,"tub,"
4235,mama
4236,suckin'
4237,"dick"""
4238,leave
4239,blessed
4240,period
4241,eat
4242,tell
4243,better
4244,godmama
4245,tale
4246,"lamb,"
4247,mary
4248,still?
4249,married
4250,"think,"
4251,"kendrick,"
4252,me—fuck
4253,spinnin'
4254,wheel
4255,ferris
4256,"heels,"
4257,expensive
4258,those
4259,pair
4260,two
4261,forget
4262,love259embed
4263,bir
4264,beni
4265,var
4266,çok
4267,şey
4268,remastered
4269,ev
4270,kadar
4271,hoşçakal
4272,i̇nandır
4273,gezegen
4274,aşka
4275,büyük
4276,ablukada
4277,kolpa
4278,aşk
4279,almadan
4280,coldplay
4281,bile
4282,sufle
4283,yedinci
4284,nefes
4285,i̇çinde
4286,karşı
4287,güne
4288,i̇çelim
4289,metallica
4290,else
4291,matters
4292,sakiler
4293,aşığın
4294,kaderi
4295,another
4296,bites
4297,2011
4298,canbay
4299,wolker
4300,çaki
4301,mfö
4302,ele
4303,kids
4304,memories
4305,stray
4306,$uicideboy$
4307,thanks
4308,sticking
4309,around
4310,nirvana
4311,smells
4312,teen
4313,spirit
4314,cigarettes
4315,sex
4316,daft
4317,punk
4318,giorgio
4319,pilots
4320,twenty
4321,zakkum
4322,haydi
4323,thunderous
4324,rauf
4325,faik
4326,детство
4327,linkin
4328,end
4329,hatıran
4330,swim
4331,yeter
4332,rammstein
4333,du
4334,hast
4335,ezginin
4336,günlügü
4337,eksik
4338,atlantic
4339,gel
4340,imagine
4341,sadakat
4342,mor
4343,dip
4344,adamlar
4345,sarılırım
4346,birine
4347,manga
4348,benimle
4349,bırak
4350,bts
4351,butter
4352,yüksek
4353,ötesi
4354,cambaz
4355,antidepresan
4356,gülümsemesi
4357,pazarlık
4358,yaşlı
4359,amca
4360,hoş
4361,madrigal
4362,sana
4363,alıştım
4364,pinhani
4365,grupları
4366,2021
4367,lyricsduman
4368,dibine
4369,dolu
4370,kadehi
4371,ters
4372,tut
4373,öylece
4374,durdun
4375,yüzyüzeyken
4376,konuşuruz
4377,sen
4378,varsın
4379,diye
4380,perdenin
4381,ardındakiler
4382,gece
4383,måneskin
4384,olmuşum
4385,sebebi
4386,gripin
4387,belki
4388,yapmamak
4389,lazım
4390,kendimden
4391,hallice
4392,sakince
4393,yoruldum
4394,athena
4395,yalan
4396,pera
4397,ben
4398,yağmuru
4399,bilirim
4400,contributorsyılın
4401,dragons
4402,i̇kilem
4403,altüst
4404,gri
4405,slave
4406,arctic
4407,monkeys
4408,505
4409,sweater
4410,weather
4411,feci
4412,bisiklet
4413,uyku
4414,seksendört
4415,hayir
4416,olamaz
4417,blackpink
4418,mavi
4419,moroderembed
4420,sufre
4421,estamos
4422,"llorar,"
4423,decepcionados
4424,"fumar,"
4425,rogar
4426,casi
4427,necesario
4428,"alcohol,"
4429,opciones
4430,canciones
4431,dedicándole
4432,gastan
4433,no?
4434,montón
4435,montónyou
4436,contributorstranslationsenglishaquí
4437,"""aquí"
4438,"abajo""]"
4439,"hablan,"
4440,gente
4441,opina
4442,posición
4443,afuera
4444,"diferente,"
4445,vieran
4446,feo
4447,siente
4448,andar
4449,sufriendo
4450,like1embed
4451,"world,"
4452,"was,"
4453,holdin'
4454,pills
4455,ringin'
4456,"on?"""
4457,coming
4458,nobody's
4459,bell
4460,himself
4461,"home,"
4462,wants
4463,(hey)
4464,doin'
4465,follow
4466,"america,"
4467,light-speed
4468,"ahead,"
4469,[bridge]
4470,like[chorus]
4471,208
4472,floor?
4473,gets
4474,nothin'
4475,that?
4476,hand
4477,palm
4478,gravity's
4479,goodnight
4480,"harry,"
4481,lyrics[intro]
4482,seems
4483,answer
4484,sitting
4485,"""harry,"
4486,replaced
4487,contributorstranslationstürkçeespañolportuguês日本語italianoελληνικάdeutschfrançaisenglishenglishnederlandsshqippolskičesky한국어as
4488,"stay,"
4489,was189embed
4490,yandel
4491,romeo
4492,wisin]
4493,yandel]
4494,loba
4495,"(auh,"
4496,uh-uh)
4497,poco
4498,aullando
4499,cualquiera
4500,enamora
4501,"santos,"
4502,perdona?
4503,ropa
4504,¿así
4505,"hablar,"
4506,hacerme
4507,añora
4508,santos]
4509,cabello
4510,tra)
4511,prefiero
4512,quitándote
4513,historia
4514,olvida
4515,tenía
4516,fluyes
4517,pega
4518,"(tra,"
4519,"tra,"
4520,sábanas
4521,interior
4522,terciopelo
4523,(¡pre-prende)
4524,(¡duro)
4525,hombre
4526,pared
4527,cuéntale
4528,"(pah,"
4529,bobo
4530,terraza
4531,revelo
4532,muerdo
4533,"(¡duro),"
4534,disfrazas?
4535,"pasa,"
4536,"pah,"
4537,(¿qué?)
4538,tiemblas
4539,pañuelo
4540,superas
4541,seguramente
4542,preguntando
4543,hacen
4544,"señores,"
4545,champions
4546,league
4547,"w,"
4548,"king,"
4549,"auh,"
4550,jeday
4551,gaby
4552,campeones
4553,pueblo
4554,w
4555,uh-uh;
4556,(¡yandel;
4557,"(""el"
4558,convertido
4559,"king"")"
4560,4:
4561,supiera
4562,divide'
4563,calendario
4564,horario
4565,viviéndome
4566,cuento
4567,digas
4568,calienta
4569,niño
4570,(ajá)
4571,disfruto
4572,(¡yandel)
4573,escrito
4574,siquiera
4575,sigues
4576,envolviéndome
4577,santos
4578,añora?
4579,presentimiento
4580,"explícame,"
4581,(él)
4582,andas
4583,horas)
4584,tuyo
4585,"""aullando"""
4586,¡wisin
4587,regreso
4588,encontré
4589,quedé
4590,luz;
4591,esperaba
4592,horas
4593,(casi
4594,sale
4595,uh-uh-uh)
4596,gloria
4597,hacemos
4598,coges
4599,pendejo;
4600,¡w)
4601,"beba,"
4602,"esperaba,"
4603,revolcándote
4604,sabiendo
4605,nada-nada
4606,lleva
4607,acuerdo
4608,memoria
4609,simplemente
4610,pasamos
4611,"bien,"
4612,decídete
4613,gusta
4614,"engaña'?,"
4615,mala
4616,contributorsaullando
4617,acabamo'
4618,"comiéndono',"
4619,suerte
4620,jajajajaja2embed
4621,"mío,"
4622,dije:
4623,dijo
4624,rico)
4625,(qué
4626,decirle
4627,"pude,"
4628,"rico"""
4629,mí)
4630,(a
4631,gustaban
4632,escribió
4633,toda'
4634,"(oh),"
4635,cancione'
4636,(-té
4637,"relaciones,"
4638,"(no),"
4639,mandó
4640,perreíto
4641,buscar
4642,(mmm-mmm)
4643,anormal
4644,[post-coro]
4645,eso'
4646,invitó
4647,mío
4648,(ah-ah)
4649,salir
4650,(mmm)
4651,notó
4652,tra-tra
4653,"""lento"","
4654,"pa'cá"""
4655,evitar
4656,"hizo,"
4657,"(ah),"
4658,mirarlo
4659,(oh;
4660,"""ven"
4661,dijo:
4662,"coincidimos,"
4663,babe
4664,"buscando,"
4665,estaba
4666,"mío""]"
4667,conquistándome
4668,fuimos
4669,jaló
4670,"contributorstranslationsenglishay,"
4671,calentando
4672,rosé
4673,botellas
4674,querías
4675,noté
4676,"rico""9embed"
4677,blanquita
4678,chiquitito
4679,coge
4680,baño
4681,"tiene',"
4682,morena
4683,trago
4684,"borracha,"
4685,saben
4686,pone
4687,extrema
4688,cuerpito
4689,vena'
4690,corre
4691,calor
4692,(yah)
4693,quema
4694,bloqueador
4695,temperatura
4696,suba
4697,dura
4698,(uff)
4699,"calor),"
4700,"baño,"
4701,(marea)
4702,marea
4703,"(calor,"
4704,yate
4705,pillé
4706,(la
4707,'el
4708,fue)
4709,(cómo
4710,pillé)
4711,baja
4712,"bikini,"
4713,(ron)
4714,ron
4715,loca
4716,aguardiente
4717,sudor
4718,cadena'
4719,contributorstranslationsenglishazul
4720,puso
4721,(ajena)
4722,"ajena,"
4723,booty
4724,arena
4725,sacúdete
4726,enloquecerse
4727,amanecer
4728,"""azul""]"
4729,"baja,"
4730,esforzó
4731,"abusó,"
4732,"lució,"
4733,"meneó,"
4734,"pegué,"
4735,pasó
4736,sky
4737,tosió
4738,cachas
4739,montó
4740,bote
4741,saludó
4742,"entró,"
4743,llena
4744,copa
4745,yeah-yeah2embed
4746,cardi
4747,that)
4748,b]
4749,top
4750,"(woo,"
4751,"handsome,"
4752,"dollars,"
4753,name?
4754,blow
4755,"brains,"
4756,drop
4757,woo
4758,"certified,"
4759,what's
4760,district
4761,diamond
4762,he's
4763,skrrt)
4764,curtains
4765,nervous
4766,close
4767,"driver,"
4768,like—)
4769,piñatas
4770,cha-ching
4771,like—woo)
4772,pin
4773,"cabrón,"
4774,gustan
4775,goza
4776,"(goza,"
4777,goza)
4778,gotta
4779,(¿qué
4780,"chambean,"
4781,cubanas
4782,"boricuas,"
4783,(¡buh)
4784,"raza,"
4785,colombianas
4786,"eddie,"
4787,guerrero
4788,(amén)
4789,abraza
4790,jesucristo
4791,acento
4792,"amar,"
4793,"activos,"
4794,"valentín,"
4795,bobby
4796,"bajo,"
4797,retumbe
4798,(¡ching)
4799,maletín
4800,cien
4801,billetes
4802,perico
4803,andamos
4804,prohibido
4805,venezolanas
4806,chingan
4807,que?)
4808,dominicana
4809,pues?)
4810,259
4811,"diles,"
4812,charytín
4813,"""mi"
4814,escuchado
4815,viajes
4816,quieras
4817,salgo
4818,visto
4819,billboard
4820,cover
4821,hagas
4822,gaga
4823,pa-pa-paparazzi
4824,"gente"""
4825,"hype,"
4826,testarossa
4827,mira
4828,(woo)
4829,(rrr)
4830,[bridge:
4831,"goza,"
4832,toca
4833,cosa)
4834,(hype;
4835,"(cosa,"
4836,mami
4837,"cosa,"
4838,vive
4839,'rossa)
4840,reciben
4841,balenciaga
4842,tenis
4843,celia
4844,"bebé,"
4845,(¡rrrah)
4846,azúcar
4847,motín
4848,diablo
4849,disco
4850,claritín
4851,picor
4852,cruz
4853,(azúca')
4854,peluca
4855,hookah)
4856,"(hookah,"
4857,hookah
4858,"carajo,"
4859,arranca
4860,tumbar
4861,jeva
4862,snuka
4863,jimmy
4864,pecho
4865,vio
4866,regalan
4867,hot
4868,spicy
4869,banging
4870,"bardi,"
4871,"wrong,"
4872,niggas
4873,proving
4874,(what?)
4875,chance
4876,tamale
4877,hotter
4878,"somali,"
4879,fur
4880,"coat,"
4881,ferrari
4882,"(rrr,"
4883,woo)
4884,hop
4885,"stu',"
4886,jump
4887,coupe
4888,(coupe)
4889,dipper
4890,second
4891,exes
4892,roof
4893,pen?
4894,where's
4895,deals
4896,dollar
4897,million
4898,shinin'
4899,"stuntin',"
4900,like—
4901,signin'
4902,(signin')
4903,balenciagas
4904,(those)
4905,ones
4906,socks
4907,going
4908,jeweler
4909,rocks
4910,watch
4911,(cha-ching)
4912,texts
4913,flexing
4914,¡yeh)
4915,¡yeh
4916,religion
4917,"bo,"
4918,bank
4919,spend
4920,(jeje)
4921,contributorstranslationsnederlandsfrançaisenglishdeutschi
4922,trato
4923,"dieta,"
4924,grasa
4925,(¡yeh;
4926,¡wuh)
4927,mudé
4928,dentro
4929,"casa,"
4930,conocen
4931,"jordan,"
4932,"sorry,"
4933,coins
4934,'bout
4935,though)
4936,"(sorry,"
4937,lam'
4938,"halal,"
4939,eating
4940,hard
4941,(mario)
4942,shit
4943,cardio
4944,"woo,"
4945,facts
4946,like[chorus:
4947,"chain,"
4948,"facts,"
4949,like—;
4950,jalan
4951,(¡jalan)
4952,compras
4953,it)165embed
4954,pum-pum
4955,"pum-pum,"
4956,rompa
4957,quieren
4958,"roncan,"
4959,tienen
4960,topes
4961,acicalá'
4962,pie'
4963,tope
4964,bichota
4965,bloque
4966,"papi,"
4967,hace'
4968,roncando
4969,darme
4970,perreando
4971,"duro,"
4972,esperando
4973,'toy
4974,27
4975,insta
4976,papi
4977,tra
4978,(perreando)
4979,roncan
4980,(ja)
4981,fronteó
4982,lucha
4983,cojo
4984,"tiren,"
4985,preco'
4986,rumora
4987,veloz
4988,dejamo'
4989,mi'
4990,tеngo
4991,jeepeta
4992,garеte
4993,botella'
4994,dimo'
4995,piquete
4996,"piquete,"
4997,sobra
4998,nota
4999,"""bichota""]"
5000,fuleteá'
5001,shortie'
5002,contributorstranslationsenglishbichota
5003,yeah-yeah-yeah-yeah
5004,"romper,"
5005,lugar
5006,fuera
5007,commentary
5008,party
5009,mari
5010,"juana,"
5011,adivina
5012,story
5013,sube'
5014,cuida'o
5015,ah-ah
5016,"gaveta,"
5017,miedo
5018,papi3embed
5019,"bésame,"
5020,"(prr,"
5021,bésame
5022,veneno
5023,envuelves
5024,bautista
5025,(skrrt)
5026,(jaja)
5027,muérdeme
5028,dale
5029,kissed
5030,barbie
5031,(so
5032,todas
5033,"dale,"
5034,quítame
5035,gustas
5036,good)
5037,"girl,"
5038,liked
5039,tocas
5040,envenéname
5041,"loca,"
5042,nena
5043,mata
5044,serpiente
5045,erizo
5046,"strong,"
5047,"(alright),"
5048,"right,"
5049,"prr),"
5050,"girls,"
5051,mata)
5052,lit)
5053,(he's
5054,me)
5055,"(dile,"
5056,(kiss
5057,jeje)
5058,(alright)
5059,"(uh-oh,"
5060,je
5061,"mario,"
5062,mb
5063,trapicalminds
5064,pico
5065,2030
5066,one)
5067,"universo,"
5068,perdido
5069,habíamos
5070,"demora,"
5071,disculpen
5072,"trip,"
5073,"l-a-l-o,"
5074,quedando
5075,"g,"
5076,9
5077,(another
5078,(you
5079,conoces
5080,"(skrrt,"
5081,barco
5082,(prr)
5083,navegando
5084,mar
5085,"también,"
5086,bautista]
5087,"girl""]"
5088,"""baby"
5089,"know,"
5090,versace
5091,"ves,"
5092,damn)
5093,gaste
5094,rojo
5095,ja
5096,"penny,"
5097,patinetas
5098,pshh)
5099,"(pshh,"
5100,heavy
5101,contributorsbaby
5102,mamiembed
5103,"baila,"
5104,baila
5105,besarte
5106,música
5107,pare
5108,ponle
5109,"(woh,"
5110,acabe
5111,baila)
5112,"(baila,"
5113,olvidar
5114,(te
5115,"sale,"
5116,[refrán]
5117,"amistade',"
5118,"sobresale,"
5119,ilusión
5120,llamó
5121,"olvide,"
5122,traicionó
5123,"va’),"
5124,"(baby),"
5125,"woh,"
5126,"más),"
5127,(algo
5128,dimelo
5129,sentirte
5130,kingz
5131,(ilusión)
5132,"claros"""
5133,nibiru
5134,negrito
5135,jajaja
5136,"amiga',"
5137,ojo'
5138,jowny
5139,"hydro,"
5140,mambo
5141,"luian,"
5142,"ozuna,"
5143,"acabe,"
5144,"moviéndote,"
5145,ante’
5146,contributorstranslationsenglishbaila
5147,ve'-e'-e')
5148,(ozuna)
5149,woh-oh)
5150,(así
5151,ilusión)
5152,"baila""]"
5153,"""baila"
5154,e'-e')
5155,imaginándote-e
5156,va')
5157,agarrándote
5158,mano
5159,besándote
5160,(imaginándote)
5161,dejando
5162,to’
5163,(deseándote)
5164,deseándote
5165,"demasia'o,"
5166,gusta’
5167,timide’
5168,vi5embed
5169,ruiz]
5170,"hmm,"
5171,hmm
5172,bailamos
5173,lentamente
5174,pasas
5175,conmigoyou
5176,tócame
5177,"conmigo"""
5178,"imagínate,"
5179,playa
5180,"arena,"
5181,sonido
5182,olas
5183,recorriendo
5184,contributorsbaila
5185,like8embed
5186,(feat
5187,(with
5188,mind
5189,tonight
5190,lonely
5191,boys
5192,matter
5193,berninger)
5194,julia
5195,stone
5196,stuck
5197,madlib
5198,hood
5199,fuentes
5200,dylan
5201,cazzu)
5202,rebecca
5203,girlfriend
5204,cherry
5205,nasty
5206,michelle
5207,fyo
5208,dilla
5209,yaeow
5210,jojo
5211,3
5212,mood
5213,fellowship
5214,goth
5215,canary
5216,lapid
5217,lyn
5218,bitsy
5219,itsy
5220,serpentwithfeet
5221,ama
5222,pale
5223,alan
5224,isák)
5225,sorry
5226,robinson
5227,porter
5228,waves
5229,american
5230,marzz
5231,caleborate
5232,lbs
5233,babii
5234,haiti
5235,freddy
5236,c'est
5237,trapboy
5238,hypocrite
5239,artemas
5240,yuno
5241,somebody
5242,killers
5243,dreams
5244,kee'vin
5245,nechie
5246,heart
5247,worship
5248,seu
5249,rain
5250,waiting
5251,gunna)
5252,add
5253,stackin
5254,trucarr
5255,lose
5256,period]x
5257,wes
5258,booties
5259,[little
5260,johnson
5261,fire
5262,morning
5263,meet
5264,hickey
5265,tall
5266,ten
5267,briskin
5268,daniel
5269,edit
5270,darling
5271,rosie
5272,lakeview]x
5273,bottle
5274,[message
5275,langhorne
5276,prayer
5277,jeris
5278,wizard
5279,"holiday"")"
5280,states
5281,united
5282,picture
5283,motion
5284,(music
5285,tweed
5286,tigress
5287,steves
5288,bri
5289,lilbubblegum)
5290,anti
5291,katori
5292,lizard
5293,gizzard
5294,remember
5295,monday
5296,almost
5297,baio
5298,hayla
5299,colours
5300,brun
5301,michael
5302,nasri
5303,1nonly
5304,morgan
5305,bonus
5306,hole
5307,bullet
5308,bandaid
5309,rag'n'bone
5310,stoner
5311,kayo)
5312,gfu
5313,cj
5314,"""bop"""
5315,wallen
5316,kodak
5317,herself
5318,mcrae
5319,jensen
5320,immune
5321,cry
5322,bbno$
5323,tired
5324,partynextdoor
5325,let's
5326,araya
5327,tarantino
5328,kays
5329,jack
5330,judge
5331,347aidan
5332,idwk
5333,finesse
5334,joy)
5335,vance
5336,gomez
5337,durk
5338,selena
5339,alejandro)
5340,lyricsbaila
5341,1/29/21
5342,friday
5343,agua
5344,parks
5345,arlo
5346,bandit
5347,clean
5348,dior)
5349,higher
5350,holy
5351,creator)
5352,"tyler,"
5353,gravity
5354,jamaica
5355,dew
5356,star
5357,ur
5358,california
5359,babyface
5360,moneybagg
5361,genasis
5362,sounds
5363,ot
5364,urself
5365,fix
5366,2kbaby
5367,rounds
5368,verzache
5369,sarcastic
5370,momma
5371,tramp
5372,miss
5373,drunk
5374,jetz
5375,tokyo
5376,rules
5377,bounty
5378,slimelife
5379,homicide
5380,posner
5381,contributorsnew
5382,bae)
5383,stanaj
5384,stamps
5385,erica
5386,kesha)
5387,parking
5388,bassett
5389,joshua
5390,lølø
5391,pathetic
5392,wingman
5393,feldt
5394,stronger
5395,prettymuch
5396,detiger
5397,blu
5398,vintage
5399,ssgkobe
5400,proud
5401,beezy
5402,yella
5403,banks)
5404,spot
5405,yonaka
5406,seize
5407,weezer
5408,wrath
5409,grapes
5410,x
5411,tes
5412,rock
5413,payday
5414,jonah
5415,dolphin
5416,stressed
5417,weintraub
5418,mine
5419,kagen
5420,5am2embed
5421,myke
5422,juhn
5423,hizo?
5424,bandido
5425,piso
5426,¿ese
5427,towers]
5428,darle
5429,llora
5430,confiéseme
5431,enterrarlo
5432,colabora
5433,defender
5434,dígame
5435,juhn]
5436,towers
5437,meterle
5438,"ahora,"
5439,"star"""
5440,jaja)
5441,(si
5442,"llora?,"
5443,(ahora)
5444,hizo?)
5445,"hermoso,"
5446,claro'
5447,pereza
5448,triste
5449,"reina,"
5450,"diosa,"
5451,comparo
5452,verla
5453,disparo
5454,"calla'o,"
5455,"discreto,"
5456,beso
5457,aprieto
5458,gasto
5459,ticket
5460,completo
5461,(por
5462,reviento
5463,cualquier
5464,sujeto)
5465,"malo,"
5466,"bueno,"
5467,caro
5468,"titerona,"
5469,asusta
5470,tanta
5471,sirili-woh-oh-oh-oh-oh)
5472,"towers,"
5473,(eh-eh-eh)
5474,santana
5475,golden
5476,combinación
5477,única
5478,"clase,"
5479,(¿ese
5480,dañó
5481,estrellas
5482,andan
5483,juntas
5484,blanca
5485,sociedad
5486,"baby"""
5487,"star,"
5488,pureza
5489,tratar
5490,(-deza)
5491,"princesa,"
5492,interesa
5493,besa
5494,"""quiero"
5495,"esa"""
5496,sales
5497,colabora;
5498,(sola)
5499,(ay)
5500,romance
5501,"liga,"
5502,garantizo
5503,"claro,"
5504,woh-oh-oh-oh-oh)
5505,avísame
5506,acaso
5507,incomoda
5508,reventarlo
5509,brego
5510,pistola'
5511,controlan
5512,"hermosa,"
5513,llora'
5514,haría
5515,"(sirili,"
5516,llora)
5517,(dígame
5518,(-bora)
5519,"""bandido""]"
5520,"buena,"
5521,malo'
5522,(malo')
5523,"sincero,"
5524,jalo
5525,(ella
5526,jalo)
5527,tiró
5528,diciéndome
5529,dejaron
5530,dejaron)
5531,"jugaron,"
5532,(llora)
5533,señora
5534,contributorstranslationsenglishbandido
5535,creo
5536,like[coro:
5537,colabora)
5538,"star"","
5539,crucero
5540,confiesa
5541,(piso)
5542,"llorando,"
5543,yola
5544,condone'
5545,"colore',"
5546,parto
5547,crayola
5548,mujere'
5549,desea
5550,(añora)
5551,vaqueo
5552,pone'
5553,reversa
5554,prendo
5555,cámara
5556,parqueo
5557,maleanteo
5558,world)3embed
5559,pain
5560,"believer,"
5561,believer
5562,oh-ooh
5563,"a,"
5564,let
5565,"down,"
5566,rained
5567,"drive,"
5568,came
5569,from…
5570,build
5571,bullets
5572,"fly,"
5573,"life,"
5574,"did,"
5575,"lived,"
5576,limited
5577,"been,"
5578,like…
5579,taking
5580,open
5581,master
5582,ebbin'
5583,flowin'
5584,"inhibited,"
5585,"veins,"
5586,flames
5587,turned
5588,above
5589,4]
5590,"dove,"
5591,"above,"
5592,chokin'
5593,crowd
5594,building
5595,falling
5596,ashes
5597,ground
5598,hoping
5599,"feelings,"
5600,drown
5601,422
5602,sulkin'
5603,age
5604,sail
5605,could
5606,fired
5607,inside
5608,masses
5609,writing
5610,poems
5611,send
5612,contributorstranslationsрусскийmagyartürkçeespañoldeutschbeliever
5613,beauty
5614,seeing
5615,brain
5616,lesson
5617,speaking
5618,veins
5619,heartache
5620,singing
5621,shook
5622,took
5623,few
5624,believer429embed
5625,skrrt
5626,ride
5627,nah
5628,"way,"
5629,these
5630,"nope,"
5631,"skrrt,"
5632,quavo]
5633,moves
5634,"live,"
5635,tryna
5636,jordan
5637,hide
5638,tennis
5639,phelps
5640,safe
5641,benz
5642,wraith
5643,"up,"
5644,hell
5645,fake
5646,really
5647,bring
5648,shoes
5649,scott]
5650,spent
5651,fifty
5652,keys
5653,right
5654,(ugh)
5655,light
5656,n'
5657,yep
5658,peace
5659,loose
5660,'roc
5661,swimmin'
5662,"henny,"
5663,(racks)
5664,"(ugh,"
5665,ocean
5666,warzone
5667,cash)
5668,goose
5669,hint
5670,streets
5671,(keys)
5672,defeat
5673,(defeated)
5674,(brrapt)
5675,"rollie,"
5676,pool
5677,servin'
5678,up)
5679,(straight
5680,digest
5681,sit
5682,cake
5683,"mix,"
5684,"god,"
5685,play)
5686,(kid
5687,biased
5688,double
5689,stay
5690,lift
5691,askin'
5692,bracelets
5693,free
5694,cup
5695,type
5696,different
5697,(mama)
5698,basement
5699,stress
5700,kick
5701,"crib,"
5702,pool)
5703,takin'
5704,flood
5705,bulletproof
5706,"shots,"
5707,room)
5708,"""let's"
5709,room
5710,livin'
5711,prez
5712,dead
5713,throwin'
5714,bitch:
5715,"snorkelin'"""
5716,tidal
5717,lit
5718,tie
5719,du-rag
5720,fade
5721,"portland,"
5722,sign
5723,organs
5724,(sad)
5725,313
5726,(magnet)
5727,days
5728,"torch,"
5729,bitin'
5730,"everybody,"
5731,which
5732,ironic
5733,album
5734,won't
5735,"fans,"
5736,high
5737,"down?"""
5738,"kid,"
5739,brighter
5740,dogs
5741,show
5742,lyrics[intro:
5743,baka
5744,nice]
5745,nice
5746,habibis
5747,"ting,"
5748,ya?
5749,drake]
5750,saved
5751,side
5752,5s
5753,screen
5754,cracked
5755,"away,"
5756,hesitate
5757,thinkin'
5758,kiddin'
5759,round
5760,ike
5761,(ike)
5762,griselda
5763,(trappin')
5764,gangland
5765,(gang)
5766,undertaker
5767,(tats)
5768,"nigga,"
5769,listen
5770,class
5771,switch
5772,(let's
5773,go)
5774,magnet
5775,invented
5776,"around,"
5777,now?
5778,"150,000"
5779,dollars
5780,afterparty
5781,killas
5782,"quavo,"
5783,fucked
5784,bein'
5785,"forty,"
5786,contributorstranslationstürkçeportland
5787,shoes91embed
5788,"ooh,"
5789,"hey,"
5790,lights
5791,sleep
5792,blinded
5793,hey
5794,touch
5795,city's
5796,empty
5797,clearly
5798,gone
5799,one's
5800,trust
5801,"this,"
5802,drowning
5803,maybe
5804,sun
5805,[post-chorus]
5806,(ooh)
5807,phone)
5808,(say
5809,know)
