Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
Fuentes de Ortiz,Ed Maverick,207400,81,2018-03-02,0akyEssGRVHstqCSWXusJL,0.946,0.83,0.159,0.159,0.159,0.0383,104.95,1,-14.461,1,4,0.189
Rebota,Guaynaa,204630,68,2018-12-14,4THusowxdHxwt0HBh5pyRx,0.188,0.816,0.911,0.911,0.911,0.255,89.686,1,-2.002,1,4,0.931
Ni Gucci Ni Prada,Kenny Man,175200,62,2018-09-14,32lexhcz93AinKK0qLTZaZ,0.41,0.799,0.676,0.676,0.676,0.169,104.956,2,-5.644,1,4,0.91
Amanece,Anuel AA,190004,85,2018-12-14,1LiN0Z98FkR1t0m8KmLcAH,0.437,0.79,0.631,0.631,0.631,0.0425,94.039,8,-5.549,0,4,0.889
Tutu,Camilo,178613,69,2019-08-09,1nocRtwyNPVtGcIJqfgdzZ,0.273,0.731,0.832,0.832,0.832,0.0503,146.013,9,-2.592,1,4,0.94
Aullando,Wisin & Yandel,226200,73,2018-12-14,7BuHdm4lQqcyG3qTwdkxus,0.184,0.8,0.74,0.74,0.74,0.0479,90.035,10,-4.52,0,4,0.775
Baila Conmigo (feat. Kelly Ruiz),Dayvi,189817,72,2018-12-28,4Clmg1g8n2yBYG13Z1oSdG,0.00903,0.745,0.972,0.972,0.972,0.0774,128.031,7,-3.506,1,4,0.556
Amigos Con Derechos,Reik,227480,75,2019-05-31,4yVO0wOhXsZC1RuPgHP524,0.0464,0.678,0.806,0.806,0.806,0.0648,183.984,1,-3.334,1,4,0.614
Lost on You,LP,268105,78,2017-05-05,2LIh4uzqq9cXMPzzmcToHl,0.1,0.433,0.724,0.724,0.724,0.0372,174.006,5,-6.126,0,4,0.689
Créeme,KAROL G,212493,72,2018-11-02,1mT47pKLXUwPYGwB91GcNz,0.154,0.715,0.872,0.872,0.872,0.0547,96.939,6,-3.501,1,4,0.682
Me Rehúso,Danny Ocean,205714,80,2016-09-16,6De0lHrwBfPfrhorm9q1Xl,0.0231,0.744,0.804,0.804,0.804,0.0677,104.823,1,-6.327,1,4,0.426
Happier,Marshmello,214289,86,2018-08-17,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,0.792,0.792,0.792,0.0452,100.015,5,-2.749,1,4,0.671
En Peligro de Extinción,La Adictiva,234000,75,2020-11-13,4wZqjBJCs2tD7AV3c2UUh5,0.0966,0.699,0.442,0.442,0.442,0.0277,123.562,0,-5.144,1,4,0.816
