Words,Frequency
reik,3
repetir,3
retrato,3
revuelta,3
rica,3
roca,3
rockstar,3
roja,3
rojos,3
rola,3
role,3
se,3
see,3
talk,3
stress,3
stupid,3
styles,3
su,3
suelta,3
sueño,3
summer,3
sun,3
suénalo,3
súbelo,3
súbete,3
t,3
tabla,3
tainy,3
take,3
tal,3
stuntin,3
story,3
sentimiento,3
stay,3
sentimientos,3
será,3
shit,3
shoes,3
sia,3
side,3
siete,3
sigues,3
sirve,3
smile,3
smoke,3
snow,3
solita,3
soltera,3
stand,3
pasando,3
lyanno,3
party,3
debo,3
cuero,3
cupido,3
curiosidad,3
cut,3
cuándo,3
dance,3
darkiel,3
ddddddy,3
decirte,3
después,3
dee,3
deh,3
demasiado,3
deo,3
derechos,3
derulo,3
desconocidos,3
deseo,3
cuando,3
cry,3
corona,3
corleone,3
cheese,3
china,3
chingar,3
ciego,3
cielo,3
click,3
close,3
cnco,3
coco,3
colabora,3
colombia,3
coming,3
como,3
contento,3
contra,3
cora,3
corazón,3
desnudé,3
destino,3
change,3
eva,3
entonce,3
entonces,3
envolverme,3
escribe,3
espera,3
estaba,3
este,3
estrella,3
eyes,3
diabla,3
falla,3
fama,3
family,3
feat,3
feel,3
feelings,3
feid,3
felicito,3
entiende,3
enseñe,3
enamore,3
ehyeah,3
dicen,3
dije,3
dio,3
discotek,3
disimular,3
dize,3
don,3
dormir,3
drop,3
drums,3
dura,3
dé,3
dónde,3
eah,3
ear,3
ebratt,3
eddie,3
check,3
chainz,3
fight,3
bae,3
arcángel,3
are,3
asesina,3
atrás,3
aventura,3
avisa,3
añora,3
babueh,3
banda,3
bellaquera,3
bandido,3
bands,3
barrio,3
bas,3
beats,3
bebe,3
bebebebecita,3
beber,3
apague,3
anywhere,3
antigüita,3
another,3
2020,3
24kgoldn,3
abajo,3
above,3
adiós,3
agua,3
aguilar,3
ahahah,3
ahorita,3
aitana,3
ajena,3
alcohol,3
alone,3
alright,3
amigo,3
amigos,3
and,3
becerra,3
benidorm,3
casualidad,3
callaíta,3
buscándote,3
bye,3
báilalo,3
bésame,3
cabello,3
calderón,3
caliente,3
callaita,3
can,3
besamo,3
cara,3
carajo,3
caramelo,3
cardigan,3
care,3
carro,3
casa,3
casper,3
buscando,3
busca,3
bueno,3
brytiago,3
besar,3
besé,3
better,3
bichota,3
billete,3
blame,3
blow,3
blu,3
blue,3
bobo,3
bom,3
bonita,3
bonito,3
booty,3
borré,3
bout,3
boy,3
fiel,3
final,3
parta,3
mente,3
mariah,3
marido,3
mario,3
married,3
mata,3
matter,3
medellín,3
mendes,3
mercado,3
music,3
mess,3
message,3
mia,3
misma,3
mmh,3
momento,3
morado,3
move,3
mar,3
mandé,3
mambo,3
mali,3
leone,3
let,3
lets,3
lights,3
likeinterludio,3
likepuente,3
likeverso,3
little,3
live,3
llame,3
llorar,3
londra,3
long,3
lover,3
luian,3
16,3
machine,3
mucho,3
mwah,3
lejos,3
ortiz,3
número,3
ohohohoh,3
ohohohohoh,3
ojo,3
ojos,3
ola,3
olor,3
oohooh,3
oscuro,3
my,3
ouh,3
pablo,3
pacá,3
paid,3
palabra,3
parar,3
pares,3
part,3
nueve,3
nueva,3
not,3
nononono,3
má,3
n,3
nacer,3
nana,3
nasty,3
need,3
negro,3
nena,3
nene,3
neverita,3
nick,3
nicole,3
nigga,3
nio,3
noches,3
nodal,3
nonono,3
lennox,3
lee,3
fire,3
haga,3
guincho,3
gunna,3
gustó,3
guy,3
gyal,3
hablar,3
había,3
hacerlo,3
hago,3
hermano,3
hallelujah,3
halsey,3
happy,3
harlow,3
harry,3
hate,3
hawái,3
haze,3
guaynabichy,3
guaynaabichy,3
goodbye,3
good,3
fra,3
freak,3
friend,3
friends,3
frío,3
fuerte,3
fui,3
fuimos,3
fuma,3
fumeteo,3
galileo,3
ganas,3
gasolina,3
gente,3
ghetto,3
give,3
gone,3
heh,3
hi,3
lao,3
juguete,3
jeday,3
jeepeta,3
jesy,3
jonas,3
jowell,3
joy,3
juanka,3
juego,3
justo,3
him,3
king,3
kingz,3
kitty,3
labio,3
lala,3
lalalalala,3
lalo,3
lamar,3
jade,3
is,3
invité,3
intro,3
historia,3
hmmhmm,3
holla,3
hombre,3
honor,3
hookah,3
horse,3
how,3
hoy,3
hydro,3
ido,3
if,3
igual,3
ill,3
ilusión,3
infeliz,3
interludio,3
zéro,3
