Song,Lyrics
11 PM,"['8', 'contributors11', 'pm', 'lyrics[letra', 'de', '""11', 'pm""]', '[pre-coro]', 'once', 'de', 'la', 'noche,', 'todavía', 'no', 'contesta', 'una', ""'e"", 'la', 'mañana,', 'todavía', 'no', 'hay', 'respuesta', '(eh,', 'eh)', 'dos', 'de', 'la', 'mañana,', 'me', 'dice', 'que', ""'tá"", 'dispuesta', '(eh-eh,', 'eh)', 'tres', 'de', 'la', 'mañana,', 'yo', 'te', 'tengo', 'una', 'propuesta', '[coro]', '¿cómo', 'hacerte', 'entender', 'que', 'conmigo', 'tú', 'te', 'ves', 'mejor?', '(dime)', '¿que', 'en', 'mi', 'carro', 'tú', 'te', 'ves', 'mejor?', 'el', 'cuarto', 'huele', 'a', 'christian', 'dior', 'eres', 'muy', 'bonita', ""pa'"", 'llorar', 'por', 'él', 'no', 'merece', 'que', 'seas', 'fiel', 'ni', 'tampoco', 'tu', 'pie-e-el,', 'bebé', '¿cómo', 'hacerte', 'entender', '(uh-ah)', 'que', 'conmigo', 'tú', 'te', 'ves', 'mejor?', '¿que', 'en', 'mi', 'carro', 'tú', 'te', 'ves', 'mejor?', 'el', 'cuarto', 'huele', 'a', 'christian', 'dior', 'eres', 'muy', 'bonita', ""pa'"", 'llorar', 'por', 'él', 'no', 'merece', 'que', 'seas', 'fiel', 'ni', 'tampoco', 'tu', 'piel,', 'oh-oh-oh', '[verso]', 'él', 'no', 'va', 'a', 'extrañarte,', 'tampoco', 'va', 'a', 'pensarte', 'dice', 'que', 'está', 'ocupado', 'en', 'cosas', 'más', 'importantes', 'la', 'nube', 'que', 'no', 'deja', 'ver', 'el', 'sol', 'brillante', '(uh)', 'no', 'lo', 'dejes', 'que', 'te', 'apague,', 'yeah', '(no-no)', 'no', 'lo', 'dejes', 'que', 'te', 'apague', '(no-no,', 'no-no)', 'you', 'might', 'also', 'like[coro]', '¿cómo', 'hacerte', 'entender', 'que', 'conmigo', 'tú', 'te', 'ves', 'mejor?', '¿que', 'en', 'mi', 'carro', 'tú', 'te', 'ves', 'mejor?', 'el', 'cuarto', 'huele', 'a', 'christian', 'dior', 'eres', 'muy', 'bonita', ""pa'"", 'llorar', 'por', 'él', ""(pa'"", 'llorar', 'por', 'él)', 'no', 'merece', 'que', 'seas', 'fiel', '(no', 'merece', 'que', 'seas', 'fiel)', 'ni', 'tampoco', 'tu', 'piel,', 'oh-oh-oh', '¿cómo', 'hacerte', 'entender', 'que', 'conmigo', 'tú', 'te', 'ves', 'mejor?', '¿que', 'en', 'mi', 'carro', 'tú', 'te', 'ves', 'mejor?', 'el', 'cuarto', 'huele', 'a', 'christian', 'dior', 'eres', 'muy', 'bonita', ""pa'"", 'llorar', 'por', 'él', ""(pa'"", 'llorar', 'por', 'él)', 'no', 'merece', 'que', 'seas', 'fiel', '(no', 'merece', 'que', 'seas', 'fiel)', 'ni', 'tampoco', 'tu', 'piel,', 'oh-oh-oh', '(no-no,', 'no-no)', '[pre-coro]', 'once', 'de', 'la', 'noche,', 'todavía', 'no', 'contesta', '(yeh,', 'yeh,', 'yeh)', 'una', ""'e"", 'la', 'mañana,', 'todavía', 'no', 'hay', 'respuesta', '(oh,', 'no,', 'no,', 'no-oh)', 'dos', 'de', 'la', 'mañana,', 'me', 'dice', 'que', 'está', 'dispuesta', '(baby)', 'tres', 'de', 'la', 'mañana,', 'yo', 'te', 'tengo', 'una', 'propuesta', '(¡dime)', '[coro]', '¿cómo', 'hacerte', 'entender', 'que', 'conmigo', 'tú', 'te', 'ves', 'mejor?', '¿que', 'en', 'mi', 'carro', 'tú', 'te', 'ves', 'mejor?', 'el', 'cuarto', 'huele', 'a', 'christian', 'dior', 'eres', 'muy', 'bonita', ""pa'"", 'llorar', 'por', 'él', 'no', 'merece', 'que', 'seas', 'fiel', 'ni', 'tampoco', 'tu', 'pie-e-el,', 'bebé', '(baby)', '¿cómo', 'hacerte', 'entender', 'que', 'conmigo', 'tú', 'te', 'ves', 'mejor?', '¿que', 'en', 'mi', 'carro', 'tú', 'te', 'ves', 'mejor?', 'el', 'cuarto', 'huele', 'a', 'christian', 'dior', 'eres', 'muy', 'bonita', ""pa'"", 'llorar', 'por', 'él', ""(pa'"", 'llorar', 'por', 'él)', 'no', 'merece', 'que', 'seas', 'fiel', '(no', 'merece', 'que', 'seas', 'fiel,', 'mujer)', 'ni', 'tampoco', 'tu', 'piel,', 'oh-oh-oh', '[outro]', 'maluma,', 'baby', 'ba-ba-ba-,', 'ba-ba-baby4embed']"
2/Catorce,"['7', 'contributorstranslationsenglish2/catorce', 'lyrics[letra', 'de', '""2/catorce""]', '[intro:', 'rauw', 'alejandro]', 'yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah', 'yeah-yeah', 'ra-rauw', '[refrán:', 'rauw', 'alejandro]', 'qué', 'rico', 'tener', 'que', 'desnudarte', 'no', 'tengo', 'que', 'hacer', 'mucho', ""pa'"", 'calentarte', '(yeah)', 'yo', 'solo', 'te', 'miré', 'y', 'tú', 'me', 'entendiste', 'cuando', 'las', ""gana'"", 'insisten,', 'no', 'se', 'pueden', 'aguantar', '[pre-coro:', 'rauw', 'alejandro]', 'baby,', 'ya', ""estamo'"", 'solos', 'nadie', 'molesta', 'cómo', 'me', 'miran', 'tus', 'ojos', 'la', 'bellaquera', 'revienta', '[coro:', 'rauw', 'alejandro]', 'baby,', 'hoy', 'te', 'voy', 'a', 'chingar', 'y', 'al', 'oído', ""va'"", 'a', 'gritarme', 'que', 'siempre', 'me', ""va'"", 'amar', 'y', 'que', 'soy', 'el', 'dueño', ""'e"", ""to'a"", 'tus', ""parte'"", 'hoy', 'te', 'voy', 'a', 'chingar', 'voy', 'a', 'hacer', 'que', 'nunca', ""pueda'"", 'olvidarme', 'tú', 'y', 'yo', 'nos', ""vamo'"", 'a', 'matar', 'y', 'hasta', 'que', 'te', ""venga',"", 'no', 'voy', 'a', 'quitarme,', 'yeah,', 'yeah-yeah', 'you', 'might', 'also', 'like[verso]', 'esa', 'lencería', 'te', 'queda', 'divina', ""íbamo'"", ""pa'l"", 'cuarto', 'y', 'nos', ""quedamo'"", 'en', 'la', 'cocina', '(uh-uh)', 'perdí', 'la', 'cuenta', 'de', ""to'a"", 'las', ""venía'"", '(ih-ih)', 'pero', 'ninguna', 'como', 'la', 'primera', 'en', 'la', 'piscina', '(¡yah)', 'qué', 'suerte,', 'que', 'soy', 'yo', 'el', 'que', 'puede', 'comerte', '(ey)', '¿qué', 'hice', 'para', 'merecerte?', '(mami)', 'cada', 'día', 'que', 'pasa', 'lo', 'que', 'siento', 'es', ""má'"", 'fuerte', 'solo', 'quiero', 'verte', '(ey,', 'ey)', 'pero', 'lo', 'de', ""nosotro',"", 'oh-oh', '(uh)', 'no', 'puede', 'saberse,', 'eh-yeah', '(¡wuh)', 'siempre', 'que', 'te', 'vas', 'espero', 'tu', 'retorno', '(ih-ih)', 'nos', ""vamo'"", 'viral', 'si', ""sacamo'"", 'la', 'porno', '(¡yah)', '[pre-coro:', 'rauw', 'alejandro]', 'baby,', 'ya', ""estamo'"", 'solos', 'nadie', 'molesta', 'cómo', 'me', 'miran', 'tus', 'ojos', 'la', 'bellaquera', 'revienta', '[coro:', 'rauw', 'alejandro]', 'baby,', 'hoy', 'te', 'voy', 'a', 'chingar', 'y', 'al', 'oído', ""va'"", 'a', 'gritarme', 'que', 'siempre', 'me', ""va'"", 'amar', 'y', 'que', 'soy', 'el', 'dueño', ""'e"", ""to'a"", 'tus', ""parte'"", 'hoy', 'te', 'voy', 'a', 'chingar', '(yih)', 'voy', 'a', 'hacer', 'que', 'nunca', ""pueda'"", 'olvidarme', 'tú', 'y', 'yo', 'nos', ""vamo'"", 'a', 'matar', 'y', 'hasta', 'que', 'te', ""venga'"", 'no', 'voy', 'a', 'quitarme,', 'yeah,', 'yeah-yeah', '[puente', 'instrumental]', '[refrán:', 'rauw', 'alejandro]', 'qué', 'rico', 'tener', 'que', 'desnudarte', 'no', 'tengo', 'que', 'hacer', 'mucho', ""pa'"", 'calentarte', 'yo', 'solo', 'te', 'miré', 'y', 'tú', 'me', 'entendiste', 'cuando', 'las', ""gana'"", 'insisten,', 'no', 'se', 'pueden', 'aguantar', '[pre-coro:', 'rauw', 'alejandro]', 'baby,', 'ya', ""estamo'"", 'solos', 'nadie', 'molesta', 'cómo', 'me', 'miran', 'tus', 'ojos', 'la', 'bellaquera', 'revienta', '[outro:', 'rauw', 'alejandro]', '(baby,', 'hoy', 'te', 'voy', 'a', 'chingar)', 'ey,', 'ajá', 'dice,', 'ra-rauw', 'alejandro', '(me', ""va'"", 'amar)', 'omi', '(y', 'que', 'soy', 'el', 'dueño', ""'e"", ""to'a"", 'tus', ""parte')"", 'hoy', ""e'"", '2/14', 'y', '(hoy', 'te', 'voy', 'a', 'chingar)', 'esta', 'canción', 'la', 'hice', ""pa'"", 'ti', 'tú', 'ya', ""sabe'"", 'quién', ""ere'"", '(tú', 'y', 'yo', 'nos', ""vamo'"", 'a', 'matar)', 'ey,', 'ey', 'duars', 'entertainment', 'con', 'los', ""fuckin'"", 'sensei2embed']"
7 rings,"['473', 'contributorstranslationstürkçeespañolromânăportuguêspolskiitalianohebrewελληνικάdeutschfrançaisnederlandsdanskفارسی7', 'rings', 'lyrics[verse', '1]', 'yeah,', 'breakfast', 'at', ""tiffany's"", 'and', 'bottles', 'of', 'bubbles', 'girls', 'with', 'tattoos', 'who', 'like', 'getting', 'in', 'trouble', 'lashes', 'and', 'diamonds,', 'atm', 'machines', 'buy', 'myself', 'all', 'of', 'my', 'favorite', 'things', '(yeah)', 'been', 'through', 'some', 'bad', 'shit,', 'i', 'should', 'be', 'a', 'sad', 'bitch', 'who', 'woulda', 'thought', ""it'd"", 'turn', 'me', 'to', 'a', 'savage?', 'rather', 'be', 'tied', 'up', 'with', 'calls', 'and', 'not', 'strings', 'write', 'my', 'own', 'checks', 'like', 'i', 'write', 'what', 'i', 'sing,', 'yeah', '(yeah)', '[pre-chorus]', 'my', 'wrist,', 'stop', ""watchin',"", 'my', 'neck', 'is', 'flossy', 'make', 'big', 'deposits,', 'my', 'gloss', 'is', ""poppin'"", 'you', 'like', 'my', 'hair?', 'gee,', 'thanks,', 'just', 'bought', 'it', 'i', 'see', 'it,', 'i', 'like', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', '(yeah)', '[chorus]', 'i', 'want', 'it,', 'i', 'got', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', 'i', 'want', 'it,', 'i', 'got', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', 'you', 'like', 'my', 'hair?', 'gee,', 'thanks,', 'just', 'bought', 'it', 'i', 'see', 'it,', 'i', 'like', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', '(yep)', '[verse', '2]', 'wearing', 'a', 'ring,', 'but', ""ain't"", ""gon'"", 'be', 'no', '""mrs""', 'bought', 'matching', 'diamonds', 'for', 'six', 'of', 'my', 'bitches', ""i'd"", 'rather', 'spoil', 'all', 'my', 'friends', 'with', 'my', 'riches', 'think', 'retail', 'therapy', 'my', 'new', 'addiction', 'whoever', 'said', 'money', ""can't"", 'solve', 'your', 'problems', 'must', 'not', 'have', 'had', 'enough', 'money', 'to', 'solve', ""'em"", 'they', 'say,', '""which', 'one?""', 'i', 'say,', '""nah,', 'i', 'want', 'all', 'of', '\'em""', 'happiness', 'is', 'the', 'same', 'price', 'as', 'red-bottoms', 'you', 'might', 'also', 'like[pre-chorus]', 'my', 'smile', 'is', ""beamin'"", '(yeah),', 'my', 'skin', 'is', ""gleamin'"", '(is', ""gleamin')"", 'the', 'way', 'it', 'shine,', 'i', 'know', ""you've"", 'seen', 'it', ""(you've"", 'seen', 'it)', 'i', 'bought', 'a', 'crib', 'just', 'for', '(just', 'for)', 'the', 'closet', '(closet)', 'both', 'his', 'and', 'hers,', 'i', 'want', 'it,', 'i', 'got', 'it,', 'yeah', '[chorus]', 'i', 'want', 'it,', 'i', 'got', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', 'i', 'want', 'it,', 'i', 'got', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', '(baby)', 'you', 'like', 'my', 'hair?', 'gee,', 'thanks,', 'just', 'bought', 'it', '(oh', 'yeah)', 'i', 'see', 'it,', 'i', 'like', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', '(yep)', '[verse', '3]', 'yeah,', 'my', 'receipts', 'be', ""lookin'"", 'like', 'phone', 'numbers', 'if', 'it', ""ain't"", 'money,', 'then', 'wrong', 'number', 'black', 'card', 'is', 'my', 'business', 'card', 'the', 'way', 'it', 'be', ""settin'"", 'the', 'tone', 'for', 'me', 'i', ""don't"", 'mean', 'to', 'brag,', 'but', 'i', 'be', 'like,', '""put', 'it', 'in', 'the', 'bag,""', 'yeah', 'when', 'you', 'see', 'them', 'racks,', 'they', 'stacked', 'up', 'like', 'my', 'ass,', 'yeah', 'shoot,', 'go', 'from', 'the', 'store', 'to', 'the', 'booth', 'make', 'it', 'all', 'back', 'in', 'one', 'loop,', 'gimme', 'the', 'loot', 'never', 'mind,', 'i', 'got', 'the', 'juice', 'nothing', 'but', 'net', 'when', 'we', 'shoot', 'look', 'at', 'my', 'neck,', 'look', 'at', 'my', 'jet', ""ain't"", 'got', 'enough', 'money', 'to', 'pay', 'me', 'respect', ""ain't"", 'no', 'budget', 'when', ""i'm"", 'on', 'the', 'set', 'if', 'i', 'like', 'it,', 'then', ""that's"", 'what', 'i', 'get,', 'yeah', '[chorus]', 'i', 'want', 'it,', 'i', 'got', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', '(oh', 'yeah)', 'i', 'want', 'it,', 'i', 'got', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', '(oh', 'yeah,', 'yeah)', 'you', 'like', 'my', 'hair?', 'gee,', 'thanks,', 'just', 'bought', 'it', 'i', 'see', 'it,', 'i', 'like', 'it,', 'i', 'want', 'it,', 'i', 'got', 'it', '(i', 'see,', 'yep)469embed']"
A La Antigüita,"['4', 'contributorsa', 'la', 'antigüita', 'lyrics[letra', 'de', '""a', 'la', 'antigüita""]', '[verso', '1]', 'qué', 'bonita', 'se', 've', 'y', 'ya', 'miró', 'que', 'la', 'miré', 'y', 'me', 'sonrió', 'le', 'gusté', 'y', 'me', 'gustó', 'está', 'como', ""pa'"", 'mí', 'como', ""pa'"", 'que', 'viva', 'aquí', 'en', 'mi', 'corazón', 'y', 'hacerla', 'feliz', 'es', 'cuestión', 'que', 'quiera', 'y', 'le', 'entrego', 'todo', 'yo', 'sabré', 'cuidarla', 'mi', 'amor', 'quererla', 'a', 'mi', 'modo', 'pero', 'a', 'la', 'antigüita,', 'bonita', 'a', 'la', 'antigüita', '[coro]', 'serenatas,', 'besos', 'flores', 'y', 'cartitas', 'tengo', 'mucho', 'amor,', 'mi', 'vida', ""pa'"", 'tirar', ""pa'"", 'arriba', 'pero', 'a', 'la', 'antigüita,', 'bonita', 'a', 'la', 'antigüita', 'you', 'might', 'also', 'likeusted', 'no', 'es', 'opción', 'es', 'un', 'privilegio', 'si', 'me', 'da', 'el', 'honor', 'de', 'tenerla', 'yo', 'voy', 'a', 'quererla', 'bonita', 'pero', 'a', 'la', 'antigüita', '[interludio]', '¡y', 'puro', 'calibre', '50,', 'chiquitita', 'es', 'cuestión', 'que', 'quiera', 'y', 'le', 'entrego', 'todo', 'yo', 'sabré', 'cuidarla,', 'mi', 'amor', 'quererla', 'a', 'mi', 'modo', 'pero', 'a', 'la', 'antigüita,', 'bonita', 'a', 'la', 'antigüita', '[coro]', 'serenatas,', 'besos', 'flores', 'y', 'cartitas', 'tengo', 'mucho', 'amor,', 'mi', 'vida', ""pa'"", 'tirar', ""pa'"", 'arriba', 'pero', 'a', 'la', 'antigüita,', 'bonita', 'a', 'la', 'antigüita', 'usted', 'no', 'es', 'opción', 'es', 'un', 'privilegio', 'si', 'me', 'da', 'el', 'honor', 'de', 'tenerla', 'yo', 'voy', 'a', 'quererla', 'bonita', 'pero', 'a', 'la', 'antigüita1embed']"
A Través del Vaso,"['6', 'contributorsa', 'través', 'del', 'vaso', 'lyrics[letra', 'de', '""a', 'través', 'del', 'vaso""]', 'quisiera', 'morirme', 'de', 'una', 'buena', 'peda', 'porque', 'esto', 'de', 'amarte', 'me', 'trajo', 'problemas', 'a', 'través', 'del', 'vaso', 'y', 'miro', 'tu', 'cara', 'las', 'ganas', 'de', 'verte', 'no', 'se', 'van', 'con', 'nada', 'tengo', 'mucha', 'prisa', 'por', 'ir', 'a', 'buscarte', 'luego', 'me', 'arrepiento', 'y', 'gana', 'el', 'coraje', 'fue', 'la', 'decepción', 'más', 'grande', 'que', 'he', 'tenido', 'lo', 'que', 'tú', 'me', 'hiciste', 'es', 'lo', 'peor', 'que', 'he', 'vivido', 'dime', 'cantinero,', 'tú', 'sabes', 'de', 'penas', 'a', 'los', 'cuántos', 'tragos', 'me', 'olvido', 'de', 'ella', 'ella', 'me', 'cambió', 'por', 'unas', 'monedas', 'hoy', 'quiere', 'volver,', 'mejor', 'que', 'no', 'vuelva', 'porque', 'ya', 'no', 'quiero', 'saber', 'de', 'su', 'vida', 'recordar', 'sus', 'besos', 'solo', 'me', 'lastima', 'a', 'través', 'del', 'vaso', 'yo', 'la', 'sigo', 'viendo', 'porque', 'como', 'un', 'loco', 'la', 'sigo', 'queriendo', 'la', 'sigo', 'queriendo', 'y', 'todavía', 'te', 'sigo', 'queriendo', 'chiquitita', 'dime', 'cantinero,', 'tú', 'sabes', 'de', 'penas', '¿a', 'los', 'cuántos', 'tragos', 'me', 'olvido', 'de', 'ella?', 'ella', 'me', 'cambió', 'por', 'unas', 'monedas', 'hoy', 'quiere', 'volver,', 'mejor', 'que', 'no', 'vuelva', 'porque', 'ya', 'no', 'quiero', 'saber', 'de', 'su', 'vida', 'recordar', 'sus', 'besos', 'solo', 'me', 'lastima', 'a', 'través', 'del', 'vaso', 'yo', 'la', 'sigo', 'viendo', 'porque', 'como', 'un', 'loco', 'la', 'sigo', 'queriendo', 'la', 'sigo', 'queriendo1embed']"
A Tu Merced,"['25', 'contributorstranslationsdeutschenglisha', 'tu', 'merced', 'lyrics[letra', 'de', '""a', 'tu', 'merced""]', '[intro]', 'yeh,', 'yeh,', 'yeh,', 'yeh', 'yeh,', 'yeh,', 'ey', '[estribillo]', 'tengo', 'par', 'de', ""babie'"", 'explotándome', 'el', 'cel', 'y', 'yo', 'pensando', 'en', 'ti,', 'estoy', 'a', 'tu', 'merced', 'tú', 'siempre', ""está'"", ""mojá'"", 'y', 'yo', 'que', 'tengo', 'sed,', 'eh', 'dime', 'qué', ""vamo'"", 'a', 'hacer', 'que', 'tengo', 'par', 'de', ""babie'"", 'explotándome', 'el', 'cel', 'y', 'yo', 'pensando', 'en', 'ti,', 'estoy', 'a', 'tu', 'merced', 'tú', 'siempre', ""está'"", ""mojá'"", 'y', 'yo', 'que', 'tengo', 'sed', 'ey,', 'ey,', 'ey', '[verso', '1]', 'y', ""ella'"", 'están', ""buena',"", 'pero', 'tú', ""'tás"", 'mejor', '(mejor)', 'traje', 'pasto', 'y', 'alcohol', 'por', 'ti', 'les', 'picheo,', 'las', 'tengo', 'en', 'hold', '(en', 'hold)', 'y', 'yo', 'detrás', 'de', 'ti', 'como', 'usain', 'bolt', 'y', 'si', ""quiere'"", 'te', 'busco', 'en', 'la', 'lamborghi', '(-ghi)', 'si', 'te', 'lo', 'hago', 'te', 'enchulo,', 'como', 'anuel', 'a', 'karol', 'g', '(g)', ""quiere'"", 'perreo,', 'no', 'balada', 'tú', ""ere'"", 'una', 'pitcher,', 'pero', 'yo', 'estoy', 'puesto', ""pa'"", 'la', 'nueva', 'entrada', '¿y', 'qué?', '¿qué?', '¿qué', ""quiere'"", 'hacer?', 'yo', 'hago', 'lo', 'que', 'tú', ""diga'"", 'ese', 'culo', ""e'"", ""grande'"", ""liga',"", 'que', ""dio'"", 'te', 'lo', 'bendiga', 'y', 'dime,', '¿qué?', '¿qué?', '¿qué', ""quiere'"", 'hacer?,', 'yo', 'hago', 'lo', 'que', 'tú', ""diga'"", 'picheale', 'a', 'tu', 'amiga,', 'ey,', 'ey', 'you', 'might', 'also', 'like[estribillo]', 'porque', 'tengo', 'par', 'de', ""babie'"", 'explotándome', 'el', 'cel', 'y', 'yo', 'pensando', 'en', 'ti,', 'estoy', 'a', 'tu', 'merced', 'tú', 'siempre', ""está'"", ""mojá'"", 'y', 'yo', 'que', 'tengo', 'sed,', 'ey', 'dime', 'qué', ""vamo'"", 'a', 'hacer', 'es', 'que', 'tengo', 'par', 'de', ""babie'"", 'explotándome', 'el', 'cel', 'y', 'yo', 'pensando', 'en', 'ti,', 'estoy', 'a', 'tu', 'merced', 'tú', 'siempre', ""está'"", ""mojá'"", 'y', 'yo', 'que', 'tengo', 'sed', 'ey,', 'ey,', 'ey', '[verso', '2]', 'yo', 'sé', 'que', 'no', ""ere'"", 'fan', 'del', 'romanticismo', 'y', 'que', ""está'"", ""cansá'"", 'de', 'que', ""esto'"", ""cabrone'"", 'te', 'digan', 'lo', 'mismo', 'moviendo', 'el', 'booty,', 'no', 'se', 'va', 'de', 'ritmo', 'punto', ""die',"", 'en', 'la', 'cama', 'va', 'a', 'haber', 'un', 'sismo', 'quiero', 'jalarte', 'ese', 'pelito', 'rubio', '(rubio)', 'y', 'darte', 'en', 'cuatro', 'el', 'cuatro', 'de', 'julio', 'mañana', 'tengo', 'examen,', 'pero', 'tú', 'lo', ""sabe'"", 'que', 'si', 'me', ""llama',"", 'no', 'estudio', '[puente]', 'mami,', 'concédeme', 'esta', 'pieza', 'no', ""somo'"", ""na',"", 'no', ""somo'"", ""na',"", 'ey', 'pero', 'con', 'un', 'perreo', 'se', 'empieza', 'no', ""sale'"", 'de', 'mi', 'cabeza', 'mami,', 'concédeme', 'esta', 'pieza', 'no', ""somo'"", ""na',"", 'no', ""somo'"", ""na',"", 'ey', 'pero', 'con', 'un', 'perreo', 'se', 'empieza', 'no', ""sale'"", 'de', 'mi', 'cabeza,', 'ey', '[estribillo]', 'y', ""to'"", 'los', ""culo'"", 'de', 'miami', 'explotándome', 'el', 'cel', 'y', 'yo', 'pensando', 'en', 'ti,', 'estoy', 'a', 'tu', 'merced', 'tú', 'siempre', ""está'"", ""mojá'"", 'y', 'yo', 'que', 'tengo', 'sed,', 'eh', 'dime', 'qué', ""vamo'"", 'a', 'hacer', 'es', 'que', 'tengo', 'par', 'de', ""babie'"", 'explotándome', 'el', 'cel', 'y', 'yo', 'pensando', 'en', 'ti,', 'estoy', 'a', 'tu', 'merced', 'tú', 'siempre', ""está'"", ""mojá'"", 'y', 'yo', 'que', 'tengo', 'sed,', 'eh', 'dime', 'qué', ""vamo'"", 'a', 'hacer', '[outro]', 'eh-eh-eh', 'eh-eh-eh', 'eh-eh-eh', 'yeah,', 'yeah,', 'eh8embed']"
